"area_name","id"
"งามวงศ์วาน – แจ้งวัฒนะ","1"
"จรัญสนิทวงศ์","2"
"ชิดลม – ราชดำริ","3"
"ดินแดง – ราชปรารภ","4"
"ตลาดพลู – บางหว้า","5"
"ทองหล่อ – พระโขนง","6"
"ธนบุรี – วงเวียนใหญ่","7"
"บางซื่อ – ประชาชื่น","8"
"บางนา – ศรีนครินทร์","9"
"บางบัวทอง – กาญจนาภิเษก","10"
"พญาไท – สามย่าน","11"
"พระราม 2 – เอกชัย","12"
"พระราม 4 – ลุมพินี","13"
"ภาคกลาง","14"
"ภาคตะวันออก","15"
"ภาคตะวันออกเฉียงเหนือ","16"
"ภาคเหนือ","17"
"ภาคใต้และตะวันตก","18"
"รังสิต – ปทุมธานี","19"
"รัชดาภิเษก – ห้วยขวาง","20"
"รัชโยธิน – สะพานใหม่","21"
"รัตนาธิเบศร์ – บางใหญ่","22"
"ราชพฤกษ์","23"
"รามคำแหง – บางกะปิ","24"
"รามอินทรา – สุวินทวงศ์","25"
"ลาดกระบัง – สุวรรณภูมิ","26"
"ลาดพร้าว","27"
"วัชรพล – สายไหม","28"
"วิภาวดี – ดอนเมือง","29"
"สมุทรสาคร","30"
"สำโรง – เทพารักษ์","31"
"สีลม – สาทร","32"
"สุขสวัสดิ์ – ราษฎร์บูรณะ","33"
"อารีย์ – หมอชิต","34"
"อุดมสุข – แบริ่ง","35"
"อโศก – พร้อมพงษ์","36"
"อ่อนนุช – ปุณณวิถี","37"
"เกษตร – นวมินทร์","38"
"เจริญกรุง – พระราม 3","39"
"เพชรบุรี – พระราม 9","40"
