
"bts_code","bts_name","route_id"
"E01","ชิดลม","1"
"E02","เพลินจิต","1"
"E03","นานา","1"
"E04","อโศก","1"
"E05","พร้อมพงษ์","1"
"E06","ทองหล่อ","1"
"E07","เอกมัย","1"
"E08","พระโขนง","1"
"E09","อ่อนนุช","1"
"E10","บางจาก","1"
"E11","ปุณณวิถี","1"
"E12","อุดมสุข","1"
"E13","บางนา","1"
"E14","แบริ่ง","1"
"E15","สำโรง","1"
"E16","ปู่เจ้าสมิงพราย","1"
"E17","พิพิธภัณฑ์ช้างเอราวัณ","1"
"E19","ศาลากลางสมุทรปราการ","1"
"E20","ศรีนครินทร์","1"
"E21","แพรกษา","1"
"E22","สายลวด","1"
"E23","เคหะสมุทรปราการ","1"
"E24","สวางคนิวาส","1"
"E25","เมืองโบราณ","1"
"E26","ศรีจันทร์ประดิษฐ์","1"
"E27","บางปู","1"
"N/A","ไบเทคบางนา","1"
"N/A","ถาวรนิเวศน์","1"
"N/A","เซ็นทรัลซิตี้","1"
"N/A","ศรีเอี่ยม","1"
"N/A","ปลัดเปรียง","1"
"N/A","บางแก้ว","1"
"N/A","วัดสลุด","1"
"N/A","กิ่งแก้ว ","1"
"N/A","ธนาซิตี้","1"
"N/A","ม.เกริก ","1"
"N/A","ท่าอากาศยานสุวรรณภูมิ","1"
"N/A","บางโฉลง","1"
"N/A","วัดศรีวารีน้อย","1"
"N01","ราชเทวี","2"
"N02","พญาไท","2"
"N03","อนุสาวรีย์ชัยสมรภูมิ","2"
"N04","สนามเป้า","2"
"N05","อารีย์","2"
"N07","สะพานควาย","2"
"N08","หมอชิต","2"
"N09","ห้าแยกลาดพร้าว","2"
"N10","พหลโยธิน 24","2"
"N11","รัชโยธิน","2"
"N12","เสนานิคม","2"
"N13","เกษตรศาสตร์","2"
"N14","กรมป่าไม้","2"
"N15","บางบัว","2"
"N16","กรมทหารราบที่ 11","2"
"N17","วัดพระศรีมหาธาตุ","2"
"N18","วงเวียนหลักสี่","2"
"N19","สายหยุด","2"
"N20","สะพานใหม่","2"
"N21","โรงพยาบาลภูมิพลอดุลยเดช","2"
"N22","พิพิธภัณฑ์กองทัพอากาศ","2"
"N23","ก.ม. 25","2"
"N24","คูคต","2"
"N25","คลองสาม","2"
"N26","คลองสี่","2"
"N27","คลองห้า","2"
"N28","วงแหวนรอบนอกตะวันออก","2"
"CEN","สยาม","3"
"S01","ราชดำริ","4"
"S02","ศาลาแดง","4"
"S03","ช่องนนทรีS05 สุรศักดิ์","4"
"S06","สะพานตากสิน","4"
"S07","กรุงธนบุรี","4"
"S08","วงเวียนใหญ่","4"
"S09","โพธิ์นิมิตร","4"
"S10","ตลาดพลู","4"
"S11","วุฒากาศ","4"
"S12","บางหว้า","4"
"S13","บางแวก","4"
"S14","กระโจมทอง","4"
"S15","บางพรม","4"
"S16","อินทราวาส","4"
"S17","บรมราชชนนี","4"
"S18","ตลิ่งชัน","4"
"W01","สนามกีฬาแห่งชาติ","5"
"W02","ยศเส","5"
