"type_name","id"
"ธุรกิจการโฆษณา","1"
"ธุรกิจการเกษตร","2"
"ธุรกิจยานยนต์","3"
"ธุรกิจธนาคาร","4"
"ธุรกิจการเคมี-พลาสติก","5"
"ธุรกิจการคอมพิวเตอร์","6"
"ธุรกิจก่อสร้าง-วัสดุก่อสร้าง","7"
"ธุรกิจที่ปรึกษา","8"
"ธุรกิจออกแบบ-ตกแต่ง","9"
"ธุรกิจการศึกษา","10"
"ธุรกิจอุตสาหกรรมไฟฟ้า","11"
"ธุรกิจอุตสาหกรรมอิเล็คโทรนิค","12"
"ธุรกิจพลังงาน","13"
"ธุรกิจบันเทิง","14"
"ธุรกิจสถาบันการเงิน-สินเชื่อ-บัตรเครดิต","15"
"ธุรกิจอาหาร-เครื่องดื่ม","16"
"ธุรกิจเสื้อผ้า-สิ่งทอ","17"
"ราชการ รัฐวิสาหกิจ มูลนิธิ องค์กร","18"
"ธุรกิจโรงพยาบาล เครื่องมือแพทย์","19"
"ธุรกิจโรงแรม-รีสอร์ท","20"
"ธุรกิจนำเข้า-ส่งออก","21"
"ธุรกิจประกันชีวิต-ประกันภัย","22"
"ธุรกิจเครื่องประดับ-อัญมณี","23"
"ธุรกิจยา เครื่องสำอาง","24"
"ธุรกิจบรรจุภัณฑ์","25"
"ธุรกิจเครื่องเขียน-กระดาษ","26"
"ธุรกิจสิ่งพิมพ์","27"
"ธุรกิจอสังหาริมทรัพย์","28"
"ธุรกิจจัดหางาน","29"
"ธุรกิจค้าปลีก","30"
"ธุรกิจบริการ","31"
"ธุรกิจสื่อสารและโทรคมนาคม","32"
"ธุรกิจขนส่ง","33"
"ธุรกิจการท่องเที่ยว","34"
"ธุรกิจศูนย์สรรพสินค้า","35"
"ธุรกิจกฎหมาย","36"
"ธุรกิจอุตสาหกรรมโลหะ เหล็ก","37"
"ธุรกิจไม้ เฟอร์นิเจอร์ เครื่องใช้","38"
"ธุรกิจสื่อสารมวลชน","39"
"ธุรกิจขายตรง MLM","40"
"ธุรกิจจำหน่ายเสื้อผ้า อุปกรณ์กีฬา","41"
"ธุรกิจอื่นๆ","42"
