"provid","name","amphid","region_id"
"10","คลองสาน","18","1"
"10","คลองสามวา","46","1"
"10","คลองเตย","33","1"
"10","คันนายาว","43","1"
"10","จตุจักร","30","1"
"10","จอมทอง","35","1"
"10","ดอนเมือง","36","1"
"10","ดินแดง","26","1"
"10","ดุสิต","2","1"
"10","ตลิ่งชัน","19","1"
"10","ทวีวัฒนา","48","1"
"10","ทุ่งครุ","49","1"
"10","ธนบุรี","15","1"
"10","บางกอกน้อย","20","1"
"10","บางกอกใหญ่","16","1"
"10","บางกะปิ","6","1"
"10","บางขุนเทียน","21","1"
"10","บางคอแหลม","31","1"
"10","บางซื่อ","29","1"
"10","บางนา","47","1"
"10","บางบอน","50","1"
"10","บางพลัด","25","1"
"10","บางรัก","4","1"
"10","บางเขน","5","1"
"10","บางแค","40","1"
"10","บึงกุ่ม","27","1"
"10","ปทุมวัน","7","1"
"10","ประเวศ","32","1"
"10","ป้อมปราบศัตรูพ่าย","8","1"
"10","พญาไท","14","1"
"10","พระนคร","1","1"
"10","พระโขนง","9","1"
"10","ภาษีเจริญ","22","1"
"10","มีนบุรี","10","1"
"10","ยานนาวา","12","1"
"10","ราชเทวี","37","1"
"10","ราษฎร์บูรณะ","24","1"
"10","ลาดกระบัง","11","1"
"10","ลาดพร้าว","38","1"
"10","วังทองหลาง","45","1"
"10","วัฒนา","39","1"
"10","สวนหลวง","34","1"
"10","สะพานสูง","44","1"
"10","สัมพันธวงศ์","13","1"
"10","สาทร","28","1"
"10","สายไหม","42","1"
"10","หนองจอก","3","1"
"10","หนองแขม","23","1"
"10","หลักสี่","41","1"
"10","ห้วยขวาง","17","1"
"11","กิ่งอำเภอบางเสาธง","6","1"
"11","บางบ่อ","2","1"
"11","บางพลี","3","1"
"11","พระประแดง","4","1"
"11","พระสมุทรเจดีย์","5","1"
"11","เมืองสมุทรปราการ","1","1"
"12","บางกรวย","2","1"
"12","บางบัวทอง","4","1"
"12","บางใหญ่","3","1"
"12","ปากเกร็ด","6","1"
"12","เมืองนนทบุรี","1","1"
"12","ไทรน้อย","5","1"
"13","คลองหลวง","2","1"
