"name","provid","region_id"
"กรุงเทพมหานคร","10","1"
"กาญจนบุรี","71","1"
"ฉะเชิงเทรา","24","1"
"ชัยนาท","18","1"
"นครนายก","26","1"
"นครปฐม","73","1"
"นนทบุรี","12","1"
"ปทุมธานี","13","1"
"ประจวบคีรีขันธ์","77","1"
"ปราจีนบุรี","25","1"
"พระนครศรีอยุธยา","14","1"
"ราชบุรี","70","1"
"ลพบุรี","16","1"
"สมุทรปราการ","11","1"
"สมุทรสงคราม","75","1"
"สมุทรสาคร","74","1"
"สระบุรี","19","1"
"สระแก้ว","27","1"
"สิงห์บุรี","17","1"
"สุพรรณบุรี","72","1"
"อุทัยธานี","61","1"
"อ่างทอง","15","1"
"เพชรบุรี","76","1"
"จันทบุรี","22","2"
"ชลบุรี","20","2"
"ตราด","23","2"
"ระยอง","21","2"
"กาฬสินธุ์","46","3"
"ขอนแก่น","40","3"
"ชัยภูมิ","36","3"
"นครพนม","48","3"
"นครราชสีมา","30","3"
"บึงกาฬ","97","3"
"บุรีรัมย์","31","3"
"มหาสารคาม","44","3"
"มุกดาหาร","49","3"
"ยโสธร","35","3"
"ร้อยเอ็ด","45","3"
"ศรีสะเกษ","33","3"
"สกลนคร","47","3"
"สุรินทร์","32","3"
"หนองคาย","43","3"
"หนองบัวลำภู","39","3"
"อำนาจเจริญ","37","3"
"อุดรธานี","41","3"
"อุบลราชธานี","34","3"
"เลย","42","3"
"กำแพงเพชร","62","4"
"ตาก","63","4"
"นครสวรรค์","60","4"
"น่าน","55","4"
"พะเยา","56","4"
"พิจิตร","66","4"
"พิษณุโลก","65","4"
"ลำปาง","52","4"
"ลำพูน","51","4"
"สุโขทัย","64","4"
"อุตรดิตถ์","53","4"
"เชียงราย","57","4"
"เชียงใหม่","50","4"
"เพชรบูรณ์","67","4"
"แพร่","54","4"
"แม่ฮ่องสอน","58","4"
"กระบี่","81","5"
"ชุมพร","86","5"
"ตรัง","92","5"
"นครศรีธรรมราช","80","5"
"นราธิวาส","96","5"
"ปัตตานี","94","5"
"พังงา","82","5"
"พัทลุง","93","5"
"ภูเก็ต","83","5"
"ยะลา","95","5"
"ระนอง","85","5"
"สงขลา","90","5"
"สตูล","91","5"
"สุราษฎร์ธานี","84","5"
