"provid","amphid","name","tambid","region_id"
"10","1","ชนะสงคราม","9","1"
"10","1","ตลาดยอด","8","1"
"10","1","บวรนิเวศ","7","1"
"10","1","บางขุนพรหม","11","1"
"10","1","บ้านพานถม","10","1"
"10","1","พระบรมมหาราชวัง","1","1"
"10","1","วังบูรพาภิรมย์","2","1"
"10","1","วัดราชบพิธ","3","1"
"10","1","วัดสามพระยา","12","1"
"10","1","ศาลเจ้าพ่อเสือ","5","1"
"10","1","สำราญราษฎร์","4","1"
"10","1","เสาชิงช้า","6","1"
"10","2","ดุสิต","1","1"
"10","2","ถนนนครไชยศรี","6","1"
"10","2","วชิรพยาบาล","2","1"
"10","2","สวนจิตรลดา","3","1"
"10","2","สี่แยกมหานาค","4","1"
"10","3","กระทุ่มราย","1","1"
"10","3","คลองสิบ","3","1"
"10","3","คลองสิบสอง","4","1"
"10","3","คู้ฝั่งเหนือ","6","1"
"10","3","ลำต้อยติ่ง","8","1"
"10","3","ลำผักชี","7","1"
"10","3","หนองจอก","2","1"
"10","3","โคกแฝด","5","1"
"10","4","บางรัก","4","1"
"10","4","มหาพฤฒาราม","1","1"
"10","4","สีลม","2","1"
"10","4","สี่พระยา","5","1"
"10","4","สุริยวงศ์","3","1"
"10","5","ท่าแร้ง","8","1"
"10","5","อนุสาวรีย์","2","1"
"10","6","คลองจั่น","1","1"
"10","6","หัวหมาก","8","1"
"10","7","ปทุมวัน","3","1"
"10","7","รองเมือง","1","1"
"10","7","ลุมพินี","4","1"
"10","7","วังใหม่","2","1"
"10","8","คลองมหานาค","3","1"
"10","8","บ้านบาตร","4","1"
"10","8","ป้อมปราบ","1","1"
"10","8","วัดเทพศิรินทร์","2","1"
"10","8","วัดโสมนัส","5","1"
"10","9","บางจาก","5","1"
"10","10","มีนบุรี","1","1"
"10","10","แสนแสบ","2","1"
"10","11","ขุมทอง","6","1"
"10","11","คลองสองต้นนุ่น","2","1"
"10","11","คลองสามประเวศ","3","1"
"10","11","ทับยาว","5","1"
"10","11","ลาดกระบัง","1","1"
"10","11","ลำปลาทิว","4","1"
"10","12","ช่องนนทรี","3","1"
"10","12","บางโพงพาง","4","1"
"10","13","จักรวรรดิ","1","1"
"10","13","ตลาดน้อย","3","1"
"10","13","สัมพันธวงศ์","2","1"
"10","14","สามเสนใน","1","1"
"10","15","ดาวคะนอง","6","1"
"10","15","ตลาดพลู","5","1"
"10","15","บางยี่เรือ","3","1"
"10","15","บุคคโล","4","1"
"10","15","วัดกัลยาณ์","1","1"
"10","15","สำเหร่","7","1"
"10","15","หิรัญรูจี","2","1"
"10","16","วัดท่าพระ","2","1"
"10","16","วัดอรุณ","1","1"
"10","17","บางกะปิ","2","1"
"10","17","สามเสนนอก","4","1"
"10","17","ห้วยขวาง","1","1"
"10","18","คลองต้นไทร","4","1"
"10","18","คลองสาน","2","1"
"10","18","บางลำภูล่าง","3","1"
"10","18","สมเด็จเจ้าพระยา","1","1"
"10","19","คลองชักพระ","1","1"
"10","19","ฉิมพลี","3","1"
"10","19","ตลิ่งชัน","2","1"
"10","19","บางพรม","4","1"
"10","19","บางระมาด","5","1"
"10","19","บางเชือกหนัง","7","1"
"10","20","บางขุนนนท์","6","1"
"10","20","บางขุนศรี","7","1"
"10","20","บ้านช่างหล่อ","5","1"
"10","20","ศิริราช","4","1"
"10","20","อรุณอมรินทร์","9","1"
"10","21","ท่าข้าม","5","1"
"10","21","แสมดำ","7","1"
"10","22","คลองขวาง","8","1"
"10","22","คูหาสวรรค์","10","1"
"10","22","บางจาก","6","1"
"10","22","บางด้วน","2","1"
"10","22","บางหว้า","1","1"
"10","22","บางแวก","7","1"
"10","22","ปากคลองภาษีเจริญ","9","1"
"10","23","หนองค้างพลู","3","1"
"10","23","หนองแขม","2","1"
"10","24","บางปะกอก","2","1"
"10","24","ราษฎร์บูรณะ","1","1"
"10","25","บางบำหรุ","3","1"
"10","25","บางพลัด","1","1"
"10","25","บางยี่ขัน","4","1"
"10","25","บางอ้อ","2","1"
"10","26","ดินแดง","1","1"
"10","27","คลองกุ่ม","1","1"
"10","28","ทุ่งมหาเมฆ","3","1"
"10","28","ทุ่งวัดดอน","1","1"
"10","28","ยานนาวา","2","1"
"10","29","บางซื่อ","1","1"
"10","30","จตุจักร","5","1"
"10","30","จอมพล","4","1"
"10","30","จันทรเกษม","3","1"
"10","30","ลาดยาว","1","1"
"10","30","เสนานิคม","2","1"
"10","31","บางคอแหลม","1","1"
"10","31","บางโคล่","3","1"
"10","31","วัดพระยาไกร","2","1"
"10","32","ดอกไม้","3","1"
"10","32","ประเวศ","1","1"
"10","32","หนองบอน","2","1"
"10","33","คลองตัน","2","1"
"10","33","คลองเตย","1","1"
"10","33","พระโขนง","3","1"
"10","34","สวนหลวง","1","1"
"10","35","จอมทอง","4","1"
"10","35","บางขุนเทียน","1","1"
"10","35","บางค้อ","2","1"
"10","35","บางมด","3","1"
"10","36","สีกัน","2","1"
"10","37","ถนนพญาไท","2","1"
"10","37","ถนนเพชรบุรี","3","1"
"10","37","ทุ่งพญาไท","1","1"
"10","37","มักกะสัน","4","1"
"10","38","จรเข้บัว","2","1"
"10","38","ลาดพร้าว","1","1"
"10","39","คลองตันเหนือ","2","1"
"10","39","คลองเตยเหนือ","1","1"
"10","39","พระโขนงเหนือ","3","1"
"10","40","บางแค","1","1"
"10","40","บางแคเหนือ","2","1"
"10","40","บางไผ่","3","1"
"10","40","หลักสอง","4","1"
"10","41","ตลาดบางเขน","2","1"
"10","41","ทุ่งสองห้อง","1","1"
"10","42","คลองถนน","3","1"
"10","42","สายไหม","1","1"
"10","42","ออเงิน","2","1"
"10","43","คันนายาว","1","1"
"10","44","สะพานสูง","1","1"
"10","45","วังทองหลาง","1","1"
"10","46","ทรายกองดิน","4","1"
"10","46","ทรายกองดินใต้","5","1"
"10","46","บางชัน","3","1"
"10","46","สามวาตะวันตก","1","1"
"10","46","สามวาตะวันออก","2","1"
"10","47","บางนา","1","1"
"10","48","ทวีวัฒนา","1","1"
"10","48","ศาลาธรรมสพน์","2","1"
"10","49","ทุ่งครุ","2","1"
"10","49","บางมด","1","1"
"10","50","บางบอน","1","1"
"11","1","ท้ายบ้าน","4","1"
"11","1","ท้ายบ้านใหม่","16","1"
"11","1","บางด้วน","13","1"
"11","1","บางปู","12","1"
"11","1","บางปูใหม่","8","1"
"11","1","บางเมือง","3","1"
"11","1","บางเมืองใหม่","14","1"
"11","1","บางโปรง","11","1"
"11","1","ปากน้ำ","1","1"
"11","1","สำโรงเหนือ","2","1"
"11","1","เทพารักษ์","15","1"
"11","1","แพรกษา","10","1"
"11","1","แพรกษาใหม่","17","1"
"11","2","คลองด่าน","5","1"
"11","2","คลองนิยมยาตรา","8","1"
"11","2","คลองสวน","6","1"
"11","2","บางบ่อ","1","1"
"11","2","บางพลีน้อย","3","1"
"11","2","บางเพรียง","4","1"
"11","2","บ้านระกาศ","2","1"
"11","2","เปร็ง","7","1"
"11","3","บางปลา","3","1"
"11","3","บางพลีใหญ่","1","1"
"11","3","บางแก้ว","2","1"
"11","3","บางโฉลง","4","1"
"11","3","ราชาเทวะ","8","1"
"11","3","หนองปรือ","9","1"
"11","4","ตลาด","1","1"
"11","4","ทรงคนอง","13","1"
"11","4","บางกระสอบ","11","1"
"11","4","บางกอบัว","12","1"
"11","4","บางกะเจ้า","9","1"
"11","4","บางครุ","4","1"
"11","4","บางจาก","3","1"
"11","4","บางน้ำผึ้ง","10","1"
"11","4","บางพึ่ง","2","1"
