"mrt_code","mrt_name","route_id"
"A01 HUA","หัวลำโพง","1"
"A02 SAM","สามย่าน","1"
"A03 SIL","สีลม","1"
"A04 LUM","ลุมพินี","1"
"A06 SIR","ศูนย์ประชุมแห่งชาติ","1"
"A07 SUK","สุขุมวิท","1"
"A08 PET","เพชรบุรี","1"
"A09 RAM","พระราม 9","1"
"A10 CUL","ศูนย์วัฒนธรรมแห่งประเทศไทย","1"
"A11 HUI","ห้วยขวาง","1"
"A12 SUT","สุทธิสาร","1"
"A13 RAT","รัชดาภิเษก","1"
"A14 LAT","ลาดพร้าว","1"
"A15 PHA","พหลโยธิน","1"
"A16 CHA","จตุจักร","1"
"A18 BAN","บางซื่อ","1"
"B01","เตาปูน","1"
"B02","บางโพ","1"
"B03","บางอ้อ","1"
"B06","บางขุนนนท์","1"
"B08","จรัญสนิทวงศ์ 13","1"
"B09","ท่าพระ 1","1"
"B10","วัดมังกรกมลาวาส","1"
"B11","วังบูรพา","1"
"B12","สนามไชย","1"
"B13","อิสรภาพ","1"
"B14","ท่าพระ 2","1"
"B15","บางไผ่","1"
"B16","บางหว้า","1"
"B17","เพชรเกษม 48","1"
"B18","ภาษีเจริญ","1"
"B19","บางแค","1"
"B20","หลักสอง","1"
"B21","พุทธมณฑล สาย 2","1"
"B22","ทวีวัฒนา","1"
"B23","หนองแขม","1"
"B24","พุทธมณฑล สาย 4","1"
"P01","คลองบางไผ่","2"
"P02","ตลาดบางใหญ่","2"
"P03","สามแยกบางใหญ่","2"
"P04","บางพลู","2"
"P05","บางรักใหญ่","2"
"P06","บางรักน้อย-ท่าอิฐ","2"
"P07","ไทรม้า","2"
"P08","สะพานพระนั่งเกล้า","2"
"P09","แยกนนทบุรี 1","2"
"P10","บางกระสอ","2"
"P11","ศูนย์ราชการจังหวัดนนทบุรี","2"
"P12","กระทรวงสาธารณสุข","2"
"P13","แยกติวานนท์","2"
"P14","วงศ์สว่าง","2"
"P15","บางซ่อน","2"
"P16","เตาปูน","2"
