"subarea_name","area_id"
"งามวงศ์วาน","1"
"แคราย","1"
"แจ้งวัฒนะ","1"
"ปิ่นเกล้า – บรมราชชนนี","2"
"เพชรเกษม – บางแค","2"
"ชิดลม – หลังสวน","3"
"ราชดำริ","3"
"เพลินจิต – วิทยุ","3"
"จตุรทิศ","4"
"ดินแดง","4"
"ราชปรารภ","4"
"ตลาดพลู – โพธิ์นิมิตร","5"
"บางหว้า","5"
"วุฒากาศ","5"
"ทองหล่อ","6"
"พระโขนง","6"
"เอกมัย","6"
"กรุงธนบุรี","7"
"วงเวียนใหญ่","7"
"กรุงเทพฯ-นนท์","8"
"ติวานนท์","8"
"บางซื่อ","8"
"ประชาชื่น","8"
"วงศ์สว่าง","8"
"บางนา-ตราด","9"
"ศรีนครินทร์","9"
"บางกรวย-ไทรน้อย","10"
"บางบัวทอง","10"
"วงแหวนตะวันตก (กาญจนาภิเษก)","10"
"พญาไท","11"
"ราชเทวี","11"
"สยาม","11"
"สามย่าน","11"
"พระราม 2","12"
"เทียนทะเล","12"
"เอกชัย – บางบอน","12"
"ลุมพินี – คลองเตย","13"
"นครปฐม","14"
"พิษณุโลก","14"
"สมุทรปราการ","14"
"ชลบุรี","15"
"บางแสน","15"
"พัทยา","15"
"ระยอง","15"
"ศรีราชา","15"
"ขอนแก่น","16"
"นครราชสีมา","16"
"อุดรธานี","16"
"เขาใหญ่","16"
"เชียงราย","17"
"เชียงใหม่","17"
"ชะอำ","18"
"ภูเก็ต","18"
"สุราษฎร์ธานี","18"
"หัวหิน","18"
"หาดใหญ่","18"
"รังสิต","19"
"ลำลูกกา","19"
"รัชดาภิเษก","20"
"สุทธิสาร","20"
"ห้วยขวาง – ประชาอุทิศ","20"
"เทียมร่วมมิตร","20"
"รัชโยธิน-เสนานิคม","21"
"สะพานใหม่","21"
"บางใหญ่","22"
"รัตนาธิเบศร์ตอนต้น","22"
"รัตนาธิเบศร์ตอนปลาย","22"
"สนามบินน้ำ","22"
"ราชพฤกษ์-กัลปพฤกษ์","23"
"ราชพฤกษ์-ชัยพฤกษ์","23"
"ราชพฤกษ์-นครอินทร์","23"
"ราชพฤกษ์-บรมราชชนนี","23"
"ราชพฤกษ์-รัตนาธิเบศร์","23"
"รามคำแหง","24"
"หัวหมาก – กรุงเทพกรีฑา","24"
"เสรีไทย","24"
"ปัญญาอินทรา","25"
"รามอินทรา","25"
"ลาดปลาเค้า","25"
"ร่มเกล้า – กิ่งแก้ว","26"
"ลาดกระบัง","26"
"ลาดพร้าว – วังหิน","27"
"ลาดพร้าวตอนต้น","27"
"ลาดพร้าวตอนปลาย","27"
"วัชรพล","28"
"สายไหม – หทัยราษฎร์","28"
"ดอนเมือง – สรงประภา","29"
"รัชวิภา","29"
"วิภาวดีรังสิต","29"
"อ้อมน้อย – พุทธมณฑลสาย 5","30"
"สำโรง – ปู่เจ้าสมิงพราย","31"
"เทพารักษ์ – แพรกษา","31"
"สาทร","32"
"สีลม – ศาลาแดง","32"
"ประชาอุทิศ","33"
"ราษฎร์บูรณะ","33"
"สุขสวัสดิ์","33"
"สะพานควาย","34"
"หมอชิต – จตุจักร","34"
"อารีย์","34"
"ลาซาล – แบริ่ง","35"
"อุดมสุข","35"
"นานา","36"
"พร้อมพงษ์","36"
"อโศก","36"
"บางจาก","37"
"ปุณณวิถี","37"
"อ่อนนุช","37"
"นวมินทร์","38"
"ประดิษฐ์มนูธรรม","38"
"ประเสริฐมนูกิจ","38"
"จันทน์-สาธุประดิษฐ์","39"
"นราธิวาสราชนครินทร์","39"
"พระราม 3","39"
"เจริญกรุง – เจริญราษฎร์","39"
"พระราม 9","40"
"พัฒนาการ","40"
"เพชรบุรี","40"
